支払手段,取引先名称,科目,細目
JCBデビット,ファミリーマート　京急川崎駅前,食費,飲料
JCBデビット,横浜ベイクォーター,交際費,飲食
JCBデビット,ＪＲ東日本エキナカ自販機　ａｃｕｒｅ,食費,飲料
JCBデビット,ＺＯＺＯＴＯＷＮ,美容・衣類,洋服
JCBデビット,ラスカ平塚,食費,カフェ
JCBデビット,アイハーブジャパンゴウドウガイシャ,食費,飲料
JCBデビット,サーティワンアイスクリーム,交際費,飲食
JCBデビット,ＥＸＣ・渋谷公園通り店,交際費,飲食
JCBデビット,猫カフェモカ,交際費,飲食
JCBデビット,ＢＬＵＥＢ,交際費,飲食
JCBデビット,東急プラザ　戸塚,消耗品,生活用品
JCBデビット,ファミリーマート　ファミマ横浜アイマーク,食費,飲料
JCBデビット,楽天ペイ　ＴＨＥ　ＹＯＫＯＨＡＭＡＢＡＹ,交際費,飲食
JCBデビット,ＤＣＳ・みなとみらいグランモール公園店,交際費,飲食
JCBデビット,大四通商／Ａｉｒ,交際費,イベント
JCBデビット,戸塚モディ,消耗品,日用品
JCBデビット,ジョイナス,交際費,飲食
JCBデビット,ビナウォーク,交際費,飲食
JCBデビット,ＳＡＬＶＡＴＯＲＥＣＵＯＭＯ＆ＢＡＲ町田,交際費,飲食
JCBデビット,シァル横浜,交際費,飲食
JCBデビット,ローソン戸塚駅西口,食費,飲料
JCBデビット,セブン－イレブン横浜新井町店,食費,飲料
JCBデビット,ローソンＬＴＦ保土ヶ谷東口,食費,昼食
JCBデビット,鎌倉のごはんやさん石渡,交際費,飲食
JCBデビット,ローソン横浜戸部町三丁目,食費,昼食
JCBデビット,ローソン横浜山元町二丁目,食費,飲料
JCBデビット,星乃珈琲店　横浜鶴屋町店,交際費,飲食
JCBデビット,ファミリーマート　渋谷ガーデンフロント,食費,飲料
JCBデビット,トップ　反町店,交際費,飲食
JCBデビット,ＰＡＹＰＡＬ　＊ＺＥＮＶＡＬＵＥＩＮＣ,教養,習い事
JCBデビット,セリア２９２６ヨークマート立場店,消耗品,日用品
JCBデビット,エスプレッソ・アメリカーノ　横浜,食費,カフェ
JCBデビット,カフェ・ド・ティーケーピー,食費,カフェ
JCBデビット,ローソン茅ヶ崎今宿,食費,飲料
JCBデビット,ステ－キアンドチ－ズ酒場　レッドコ／ＰＧ,交際費,飲食
JCBデビット,横浜ワールドポーターズ,交際費,飲食
JCBデビット,株式会社　ソルサリエンテ,教養,習い事
JCBデビット,マクドナルド茅ヶ崎店,食費,飲料
JCBデビット,セブン－イレブン茅ヶ崎今宿東店,食費,飲料
JCBデビット,ＤＣＳ・茅ヶ崎南口店,食費,カフェ
JCBデビット,ワッツ　いずみ中央ライフ店,消耗品,日用品
JCBデビット,オーケー　上大岡店,食費,飲料
JCBデビット,株式会社はなまる,食費,昼食
JCBデビット,ミニストップ,食費,飲料
JCBデビット,マクドナルド西新宿駅前店,食費,夕食
JCBデビット,ファミリーマート　本厚木駅南口,食費,飲料
JCBデビット,ファミリーマート　鶴屋町郵便局前,食費,飲料
JCBデビット,キッチンオリジン　藤棚店,食費,昼食
JCBデビット,ファミリーマート　相鉄海老名駅,食費,飲料
JCBデビット,ららぽーと海老名,美容・衣類,コスメ
JCBデビット,風水火山,消耗品,その他
JCBデビット,ＡＮＡ　ＷＥＢ,交際費,イベント
JCBデビット,マツモトキヨシ　小田原駅東口店,食費,飲料
JCBデビット,ｈｏｌｌｏ　ＳＨＩＢＵＹＡ,美容・衣類,洋服
JCBデビット,ＣＬＡＵＤＥ．ＡＩ　ＳＵＢＳＣＲＩＰＴＩＯＮ,教養,学費
JCBデビット,スターバックス　ＴＢＳ　海老名,食費,カフェ
JCBデビット,桜木町ふぐよし総本店,交際費,飲食
JCBデビット,ＣＩＡＬ桜木町,交際費,飲食
JCBデビット,ナチュラルローソン川崎フロンティアビル,食費,飲料
JCBデビット,ローソン鎌倉玉縄一丁目,食費,飲料
JCBデビット,トーヨーベンディング飲料自販機,食費,飲料
JCBデビット,ノジマ　戸塚モディ店,消耗品,生活用品
JCBデビット,おかしのまちおか　千歳烏山店,食費,間食
JCBデビット,ＳＱ＊ｇｒａｎｏ,交際費,飲食
JCBデビット,井出整形外科内科クリニック,医療費,診察
JCBデビット,大佛次郎記念館／Ａｉｒ,教養,会場
JCBデビット,ＫＥＹ’Ｓ　ＣＡＦＥ　横浜蒔田店,食費,昼食
JCBデビット,アカフ－ボウル／ＳＢ,交際費,イベント
JCBデビット,ウィング　上大岡,交際費,飲食
JCBデビット,マルエツ　香川駅前店,食費,昼食
JCBデビット,ＵＤＥＭＹＥＵ,教養,習い事
JCBデビット,ルクス,消耗品,日用品
JCBデビット,ダイドードリンコ〔飲料自販機〕,食費,飲料
JCBデビット,セブン－イレブン横浜弘明寺駅前店,食費,飲料
JCBデビット,タリーズコーヒー,食費,カフェ
JCBデビット,三本珈琲店,交際費,飲食
JCBデビット,小田原城天守閣,交際費,イベント
JCBデビット,八洋〔飲料自販機〕,食費,飲料
JCBデビット,ベッド寝具専門店　イ－ズスペ－ス,消耗品,その他
JCBデビット,ＤＣＳ・湘南台西口駅前店,食費,昼食
JCBデビット,ニトリ,消耗品,その他
JCBデビット,セブン－イレブン横浜川和町店,食費,飲料
JCBデビット,ローソンストア１００茅ヶ崎十間坂,消耗品,その他
JCBデビット,ファミリーマート　相鉄二俣川駅,食費,飲料
JCBデビット,ファミリーマート　サンズ湘南台一丁目,食費,飲料
JCBデビット,和菓子　菜の花,交際費,贈答
JCBデビット,菓処　ことほぎの木,交際費,贈答
JCBデビット,福来すずめ,食費,間食
JCBデビット,小田原吉匠,食費,カフェ
JCBデビット,ファミリーマート　戸塚駅西口,食費,飲料
JCBデビット,ＤＣＳ・海老名ビナウォーク店,食費,カフェ
JCBデビット,快活ＣＬＵＢ　京急川崎駅前,教養,会場
JCBデビット,セリア２６５１ウィングキッチン京急川崎店,消耗品,日用品
JCBデビット,ＦＣＥｘ旭町通店,消耗品,その他
JCBデビット,ファミリーマート　トツカーナ,食費,飲料
JCBデビット,株式会社タイトー,交際費,イベント
JCBデビット,ダイニー,交際費,飲食
JCBデビット,ファミリーマート　地下鉄戸塚駅,食費,飲料
JCBデビット,ファミリーマート　平塚駅北口,食費,間食
JCBデビット,ＤＣＳ・平塚ユーユー駅前館店,食費,カフェ
JCBデビット,＊グ－グル　プレイ　アツプ,その他,雑費
JCBデビット,ローソン　トウキヨウテレポートエキマエ,食費,夕食
JCBデビット,赤から横浜西口店,交際費,飲食
JCBデビット,ファミリーマート　相鉄横浜駅,食費,飲料
JCBデビット,セブン－イレブン横浜戸塚矢部町北店,食費,昼食
