日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-04-03,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-08,payment,食費,晩ご飯,Suica,-,コーンスープ12G*8袋,,-,"（プレミアム会員で表示）",0,213,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-08,payment,食費,晩ご飯,Suica,-,外税,,-,"（プレミアム会員で表示）",0,56,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-08,payment,食費,晩ご飯,Suica,-,不明,,-,"（プレミアム会員で表示）",0,493,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-09,payment,食費,カフェ,-,-,,,-,"（プレミアム会員で表示）",0,110,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-16,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-17,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-27,payment,食費,カフェ,Suica,-,回数券,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,1750,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-30,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-09,payment,交通,電車,Suica,-,,,-,"（プレミアム会員で表示）",0,880,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-20,payment,食費,昼ご飯,Suica,-,良い値!チンジャオ弁,,"キッチンオリジン 藤棚店","（プレミアム会員で表示）",0,499,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-20,payment,食費,昼ご飯,Suica,-,,,"キッチンオリジン 藤棚店","（プレミアム会員で表示）",0,39,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-22,payment,食費,昼ご飯,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,520,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-22,payment,食費,昼ご飯,Suica,-,,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-22,payment,食費,昼ご飯,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-50,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-23,payment,食費,晩ご飯,Suica,-,焼餃子1人前,,"宇都宮みんみん 来らっせ店","（プレミアム会員で表示）",0,390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-23,payment,食費,晩ご飯,Suica,-,油淋餃子,,-,"（プレミアム会員で表示）",0,580,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
